country,country_code,cpi_score,gdp_growth,control_of_corruption,government_effectiveness,regulatory_quality,fdi_inflow
Albania,ALB,42.0,4.04592845095348,-0.332218527793884,0.250855356454849,0.171953663229942,1716.0
Algeria,DZA,34.0,3.69999999907979,-0.589308321475983,-0.670135140419006,-0.948087155818939,1439.0
Angola,AGO,32.0,4.42390664406875,-0.60992020368576,-1.00890958309174,-0.761388182640076,-136.0
Argentina,ARG,37.0,-1.34293072157739,-0.360883951187134,-0.377517342567444,-0.482535392045975,11431.0
Armenia,ARM,47.0,5.90000000046228,0.0583996474742889,-0.184129968285561,0.047635018825531,139.0
Australia,AUS,77.0,1.37340773365975,1.78120493888855,1.58987963199615,1.94220554828644,53454.0
Austria,AUT,67.0,-0.659089573171372,1.1336532831192,1.32668149471283,1.36136972904205,11535.0
Azerbaijan,AZE,22.0,4.07140205008956,-1.19547140598297,-0.0326422192156315,-0.108809567987919,231.0
Bahamas,BHS,65.0,3.37866553336166,1.26691007614136,0.270353257656097,0.00718375248834491,
Bahrain,BHR,53.0,2.60379670648454,0.177784815430641,0.697198748588562,1.07798528671265,2478.0
Bangladesh,BGD,23.0,4.22325911250161,-1.12086641788483,-0.697334110736847,-0.914152979850769,1270.0
Barbados,BRB,68.0,2.4822621396186,1.34458589553833,0.380443245172501,0.503107726573944,303.0
Belarus,BLR,33.0,4.00984852465452,-0.665028035640717,-0.991465747356415,-1.41953349113464,1711.0
Belgium,BEL,69.0,1.07045413019414,1.3368444442749,1.03702199459076,1.16822481155396,-26723.0
Benin,BEN,45.0,7.45311566226201,-0.0495794489979744,-0.218984127044678,-0.295836299657822,543.0
Bolivia,BOL,28.0,-1.12335595517212,-0.838301062583923,-0.639481067657471,-1.17711877822876,
Bosnia and Herzegovina,BIH,33.0,2.9715174617652,-0.581560015678406,-0.967812538146973,-0.141291111707687,1113.0
Botswana,BWA,57.0,-2.98986879467928,0.685792088508606,0.430828422307968,0.497434794902802,467.0
Brazil,BRA,34.0,3.41931516597739,-0.503643155097961,-0.546764314174652,-0.29647821187973,59178.0
Bulgaria,BGR,43.0,3.38709063847314,-0.137721657752991,0.047112051397562,0.40789669752121,3090.0
Burkina Faso,BFA,41.0,4.79980951667159,-0.169615507125854,-0.826227486133575,-0.485633552074432,83.0
Burundi,BDI,17.0,4.11227376264944,-1.55602598190308,-1.20011341571808,-0.985730171203613,32.0
Cambodia,KHM,21.0,5.97510939607335,-1.29921674728394,-0.305874288082123,-0.684618413448334,4395.0
Cameroon,CMR,26.0,3.52472308052245,-1.16255974769592,-0.906262576580048,-0.913473010063171,925.0
Canada,CAN,75.0,1.55479521049516,1.67150104045868,1.51680326461792,1.64471042156219,64096.0
Cape Verde,CPV,62.0,7.24388538990945,0.984857201576233,0.0136766647920012,0.242902502417564,64.0
Central African Republic,CAF,24.0,1.49999999847535,-1.31139302253723,-1.73500919342041,-1.46841526031494,40.0
Chad,TCD,21.0,4.19925854085865,-1.48240697383881,-1.4791487455368,-1.15642070770264,1019.0
Chile,CHL,63.0,2.64431154871538,0.968603789806366,0.71755576133728,0.925731718540192,11360.0
China,CHN,43.0,4.9773565917572,-0.00537010468542576,0.679014027118683,-0.356507807970047,116238.0
Colombia,COL,39.0,1.5983315366523,-0.309191286563873,-0.075877919793129,0.101034268736839,14234.0
Comoros,COM,21.0,3.3381010943571,-0.990109264850616,-1.53510224819183,-1.23843240737915,7.0
