Entity,Code,Year,Corruption Perceptions Index,World region according to OWID,time,time
Fiji,FJI,2024,55,Oceania,2023,2024
Finland,FIN,2024,88,Europe,2023,2024
France,FRA,2024,67,Europe,2023,2024
Gabon,GAB,2024,27,Africa,2023,2024
Gambia,GMB,2024,38,Africa,2023,2024
Georgia,GEO,2024,53,Asia,2023,2024
Germany,DEU,2024,75,Europe,2023,2024
Ghana,GHA,2024,42,Africa,2023,2024
Greece,GRC,2024,49,Europe,2023,2024
Grenada,GRD,2024,56,North America,2023,2024
Guatemala,GTM,2024,25,North America,2023,2024
Guinea,GIN,2024,28,Africa,2023,2024
Guinea-Bissau,GNB,2024,21,Africa,2023,2024
Guyana,GUY,2024,39,South America,2023,2024
Haiti,HTI,2024,16,North America,2023,2024
Honduras,HND,2024,22,North America,2023,2024
Hungary,HUN,2024,41,Europe,2023,2024
Iceland,ISL,2024,77,Europe,2023,2024
India,IND,2024,38,Asia,2023,2024
Indonesia,IDN,2024,37,Asia,2023,2024
Iran,IRN,2024,23,Asia,2023,2024
Iraq,IRQ,2024,26,Asia,2023,2024
Ireland,IRL,2024,77,Europe,2023,2024
Israel,ISR,2024,64,Asia,2023,2024
Italy,ITA,2024,54,Europe,2023,2024
Jamaica,JAM,2024,44,North America,2023,2024
Japan,JPN,2024,71,Asia,2023,2024
Jordan,JOR,2024,49,Asia,2023,2024
Kazakhstan,KAZ,2024,40,Asia,2023,2024
Kenya,KEN,2024,32,Africa,2023,2024
Kosovo,OWID_KOS,2024,44,Europe,2023,2024
Kuwait,KWT,2024,46,Asia,2023,2024
Kyrgyzstan,KGZ,2024,25,Asia,2023,2024
Laos,LAO,2024,33,Asia,2023,2024
Latvia,LVA,2024,59,Europe,2023,2024
Lebanon,LBN,2024,22,Asia,2023,2024
Lesotho,LSO,2024,37,Africa,2023,2024
Liberia,LBR,2024,27,Africa,2023,2024
Libya,LBY,2024,13,Africa,2023,2024
Lithuania,LTU,2024,63,Europe,2023,2024
Luxembourg,LUX,2024,81,Europe,2023,2024
Madagascar,MDG,2024,26,Africa,2023,2024
Malawi,MWI,2024,34,Africa,2023,2024
Malaysia,MYS,2024,50,Asia,2023,2024
Maldives,MDV,2024,38,Asia,2023,2024
Mali,MLI,2024,27,Africa,2023,2024
Malta,MLT,2024,46,Europe,2023,2024
Mauritania,MRT,2024,30,Africa,2023,2024
Mauritius,MUS,2024,51,Africa,2023,2024
Mexico,MEX,2024,26,North America,2023,2024
Moldova,MDA,2024,43,Europe,2023,2024
Mongolia,MNG,2024,33,Asia,2023,2024
Montenegro,MNE,2024,46,Europe,2023,2024
Morocco,MAR,2024,37,Africa,2023,2024
Mozambique,MOZ,2024,25,Africa,2023,2024
Myanmar,MMR,2024,16,Asia,2023,2024
Namibia,NAM,2024,49,Africa,2023,2024
Nepal,NPL,2024,34,Asia,2023,2024
Netherlands,NLD,2024,78,Europe,2023,2024
New Zealand,NZL,2024,83,Oceania,2023,2024
Nicaragua,NIC,2024,14,North America,2023,2024
Niger,NER,2024,34,Africa,2023,2024
Nigeria,NGA,2024,26,Africa,2023,2024
North Korea,PRK,2024,15,Asia,2023,2024
North Macedonia,MKD,2024,40,Europe,2023,2024
Norway,NOR,2024,81,Europe,2023,2024
Oman,OMN,2024,55,Asia,2023,2024
Pakistan,PAK,2024,27,Asia,2023,2024
Panama,PAN,2024,33,North America,2023,2024
Papua New Guinea,PNG,2024,31,Oceania,2023,2024
Paraguay,PRY,2024,24,South America,2023,2024
Peru,PER,2024,31,South America,2023,2024
Philippines,PHL,2024,33,Asia,2023,2024
Poland,POL,2024,53,Europe,2023,2024
Portugal,PRT,2024,57,Europe,2023,2024
Puerto Rico,,,,,,2024
Qatar,QAT,2024,59,Asia,2023,2024
Romania,ROU,2024,46,Europe,2023,2024
Russia,RUS,2024,22,Europe,2023,2024
Rwanda,RWA,2024,57,Africa,2023,2024
Saint Lucia,LCA,2024,59,North America,2023,2024
Saint Vincent and the Grenadines,VCT,2024,63,North America,2023,2024
Sao Tome and Principe,STP,2024,45,Africa,2023,2024
Saudi Arabia,SAU,2024,59,Asia,2023,2024
Senegal,SEN,2024,45,Africa,2023,2024
Serbia,SRB,2024,35,Europe,2023,2024
